category,subcategory,value,scenario,tone,note
price_pattern,*,入會即享 ${{N4}} 折扣,*,*,會員
price_pattern,*,雙11限時 ${{N3}}｜售完不補,festival,urgent,雙11
price_pattern,*,結帳享 ${{N4}} 即刻擁有,*,*,通用
cta,*,立即下單 ▶▶,*,*,標準
cta,*,立即體驗 ▶▶,*,clinical,試用
cta,*,立即搶購 ▶▶,*,urgent,急迫
cta,*,立即領取 ▶▶,*,*,贈品
cta,*,馬上擁有 ▶▶,*,*,口語
cta,*,搶在售完前 ▶▶,*,urgent,急迫
cta,*,把握優惠 ▶▶,*,urgent,
cta,*,加入購物車 ▶▶,*,*,標準
cta,*,立即詢問 ▶▶,*,clinical,客服諮詢
cta,*,給自己一瓶 ▶▶,*,*,情感
cta,*,即刻啟動緊緻 ▶▶,*,clinical,專業版
price_value,N1,"1,500",*,*,折扣金額池
price_value,N1,"2,200",*,*,折扣金額池
price_value,N1,"3,200",*,*,折扣金額池
price_value,N1,"4,500",*,*,折扣金額池
price_value,N2,"3,800",*,*,
price_value,N2,"4,990",*,*,
price_value,N2,"5,500",*,*,
price_value,N2,"6,990",*,*,
price_value,N3,"1,200",*,*,
price_value,N3,"1,800",*,*,
price_value,N3,"2,500",*,*,
price_value,N3,"950",*,*,
price_value,N4,"990",*,*,
price_value,N4,"1,290",*,*,
price_value,N4,"1,690",*,*,
price_value,N4,"1,990",*,*,
price_value,N5,"890",*,*,
price_value,N5,"1,290",*,*,
price_value,N5,"1,590",*,*,
